RELIANCE,2800,2850,2850
TCS,3850,3900,3900
INFY,1480,1520,1520
HDFCBANK,1650,1680,1680
ICICIBANK,1080,1120,1120
SBIN,800,840,840
ITC,420,445,445
LT,3500,3650,3650
KOTAKBANK,1700,1760,1760
AXISBANK,1180,1220,1220
MARUTI,12500,12800,12800
BAJFINANCE,7000,7200,7200
ASIANPAINT,2950,3050,3050
WIPRO,540,600
HCLTECH,1420,1480,1480
ULTRACEMCO,9800,10200,10200
SUNPHARMA,1600,1680,1680
TITAN,3400,3550,3550
NESTLEIND,24000,24600,24600
ONGC,270,295,295
NTPC,360,395,395
POWERGRID,320,340,340
ADANIENT,3000,3150,3150
ADANIPORTS,1380,1450,1450
COALINDIA,450,485,485
TECHM,1250,1320,1320
TATASTEEL,160,178,178
JSWSTEEL,890,940,940
HINDALCO,650,690,690
GRASIM,2450,2550,2550
BAJAJFINSV,1600,1680,1680
DRREDDY,6200,6450,6450
CIPLA,1450,1520,1520
DIVISLAB,4300,4550,4550
EICHERMOT,4700,4950,4950
HEROMOTOCO,5300,5600,5600
BPCL,570,610,610
IOC,160,175,175
VEDL,430,465,465
SHREECEM,26000,26800,26800
INDUSINDBK,1380,1450,1450
PIDILITIND,3000,3120,3120
DABUR,590,625,625
BRITANNIA,5400,5620,5620
HAVELLS,1750,1820,1820
SIEMENS,6800,7150,7150
ABB,8000,8450,8450
BHEL,290,325,325
BEL,260,295,295
IRCTC,1080,1000,1000
tata,450,450
